Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,$/SqFt,$/SF
2021-07-07,Gresham,97030,2004,4,3.0,669000,3010,11325,222.25913621262458,222.26
2020-12-30,Wood Village,97060,2012,3,2.0,339500,1152,6534,294.7048611111111,294.7
2021-04-20,Fairview,97024,1978,3,2.0,435000,1630,9583,266.87116564417175,266.87
2021-07-07,Gresham,97030,1974,3,3.0,432000,1442,9583,299.5839112343967,299.58
2021-04-20,Fairview,97024,1974,3,3.0,700000,3143,4791,222.71714922048997,222.72
2021-07-15,Troutdale,97060,2007,3,3.0,495000,2195,3049,225.5125284738041,225.51
2021-07-07,Gresham,97080,1986,3,2.0,625000,2359,13939,264.94277236117,264.94
2020-11-23,Wood Village,97060,2006,3,3.0,382500,1754,3484,218.07297605473204,218.07
2021-04-18,Fairview,97024,1999,3,3.0,430000,2193,10890,196.07843137254903,196.08
2021-07-15,Troutdale,97060,1974,3,3.0,400000,1764,7405,226.75736961451247,226.76
2020-11-16,Wood Village,97060,1944,1,1.0,215000,954,7623,225.36687631027254,225.37
2021-07-07,Gresham,97080,1918,3,3.0,527000,2887,10454,182.5424315898857,182.54
2021-04-15,Fairview,97024,2013,3,3.0,415000,1644,11325,252.4330900243309,252.43
2020-11-12,Wood Village,97060,1943,2,1.0,295000,755,6969,390.72847682119203,390.73
2021-07-07,Portland,97233,1945,3,2.0,340000,1066,7405,318.94934333958724,318.95
2021-07-15,Troutdale,97060,2021,4,3.0,486000,1837,3344,264.5617855198694,264.56
2021-04-15,Fairview,97024,1974,3,2.0,379000,1188,14810,319.023569023569,319.02
2020-10-13,Wood Village,97060,1998,3,2.0,350000,1152,7840,303.81944444444446,303.82
2021-07-15,Troutdale,97060,2008,4,3.0,640000,2603,7840,245.87014982712256,245.87
2021-07-07,Gresham,97080,1974,6,3.0,550000,2700,8276,203.7037037037037,203.7
2021-07-15,Troutdale,97060,1986,3,3.0,452000,1504,13068,300.531914893617,300.53
2021-04-12,Fairview,97024,1982,3,1.0,416000,1225,5400,339.59183673469386,339.59
2021-07-13,Troutdale,97060,2020,3,3.0,484900,2227,3784,217.7368657386619,217.74
2020-09-18,Wood Village,97060,1944,2,1.0,240000,962,6969,249.48024948024948,249.48
2021-04-09,Fairview,97024,1996,3,3.0,595000,1822,7405,326.5642151481888,326.56
2021-07-13,Troutdale,97060,2006,4,3.0,450000,1967,3049,228.7747839349263,228.77
2021-04-08,Fairview,97024,1970,3,3.0,395000,2098,7840,188.2745471877979,188.27
2020-09-10,Wood Village,97060,1943,4,2.0,320000,1575,7405,203.17460317460316,203.17
2021-07-12,Troutdale,97060,1991,3,2.0,545000,1506,12196,361.88579017264277,361.89
2021-07-07,Gresham,97080,2007,3,3.0,540000,2370,5662,227.84810126582278,227.85
2020-08-30,Wood village,97060,1944,2,1.0,291000,694,7840,419.30835734870317,419.31
2021-07-09,Troutdale,97060,1992,3,2.0,438000,1337,7405,327.59910246821244,327.6
2021-04-06,Fairview,97024,1983,3,2.0,320000,1375,7840,232.72727272727272,232.73
2020-08-30,Wood Village,97060,1944,2,1.0,291000,694,7840,419.30835734870317,419.31
2021-07-06,Gresham,97080,2006,5,3.0,615000,3045,5662,201.9704433497537,201.97
2021-07-09,Troutdale,97060,1970,4,2.0,625000,2044,87120,305.7729941291585,305.77
2021-04-01,Fairview,97024,1996,4,3.0,575000,2039,9583,282.0009808729769,282.0
2020-08-30,Troutdale,97060,1944,2,1.0,291000,694,7840,419.30835734870317,419.31
2021-07-09,Troutdale,97060,1995,3,3.0,460000,1870,6098,245.98930481283423,245.99
2021-04-01,Fairview,97024,2000,3,3.0,390000,1988,10454,196.17706237424548,196.18
2021-07-06,Gresham,97080,1988,6,3.0,665000,3747,12196,177.4753135842007,177.48
2020-08-27,Wood Village,97060,1973,4,2.1,455000,3285,28749,138.5083713850837,138.51
2021-07-01,Troutdale,97060,1992,3,2.0,445000,1494,8276,297.8580990629183,297.86
2020-08-27,Troutdale,97060,1973,4,3.0,455000,3285,28749,138.5083713850837,138.51
2021-07-01,Troutdale,97060,2004,3,3.0,525000,2135,5662,245.9016393442623,245.9
2021-03-26,Fairview,97024,1982,4,3.0,725000,2500,6969,290.0,290.0
2021-07-06,Gresham,97080,1978,3,2.0,450000,1380,7840,326.0869565217391,326.09
2021-03-21,Fairview,97024,1993,3,3.0,315700,2796,5227,112.9113018597997,112.91
2021-07-01,Troutdale,97060,1983,3,2.0,405000,1090,6534,371.5596330275229,371.56
2020-08-24,Wood Village,97060,1944,3,2.0,363500,1516,10454,239.77572559366754,239.78
2021-07-06,Portland,97233,1958,4,2.0,400000,1222,7405,327.33224222585926,327.33
2021-07-01,portland,97060,1988,3,2.0,420000,1070,9147,392.5233644859813,392.52
2021-03-21,Fairview,97024,2015,3,2.0,244000,1803,5227,135.3300055463117,135.33
2020-08-21,Wood Village,97060,2006,3,3.0,375000,1759,3484,213.18931210915292,213.19
2021-07-06,Gresham,97080,1976,3,3.0,435000,1832,7405,237.44541484716157,237.45
2021-06-29,Troutdale,97060,1992,3,2.0,425500,1359,6969,313.0978660779985,313.1
2020-08-11,Wood Village,97060,1943,2,1.0,270000,1047,7906,257.87965616045847,257.88
2021-07-01,Gresham,97080,1976,4,3.0,471500,2327,8276,202.6214009454233,202.62
2020-08-11,Wood Village,97060,1944,3,1.0,295000,954,9583,309.22431865828094,309.22
2021-06-28,Troutdale,97060,1992,3,3.0,435000,1398,5227,311.15879828326183,311.16
2021-03-18,Fairview,97024,2000,3,3.0,520000,2116,10018,245.74669187145557,245.75
2021-07-01,Gresham,97080,1991,3,2.0,515000,1540,9147,334.4155844155844,334.42
2020-08-07,Wood Village,97060,2020,3,3.0,400000,1720,12196,232.5581395348837,232.56
