Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
NE SISKIYOU ST / NE 82ND AVE,22-907012,Property,Madison South,3/12/2022,1635,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.544517478,-122.578823577,3/12/2022,1
NE SKIDMORE ST / NE 9TH AVE,22-902971,Property,King,1/31/2022,0100,Vandalism,Vandalism,45.554527635,-122.656634785,1/31/2022,1
NE SKIDMORE ST / NE 42ND AVE,22-900652,Property,Beaumont-Wilshire,1/7/2022,0600,Burglary,Burglary,45.553731205,-122.620391638,1/7/2022,1
NE SKIDMORE ST / NE 76TH AVE,22-908005,Property,Roseway,3/21/2022,2315,Larceny Offenses,Theft From Motor Vehicle,45.553837554,-122.584722000,3/22/2022,1
NE SKIDMORE ST / NE CULLY BLVD,22-14500,Property,Cully,1/16/2022,1600,Vandalism,Vandalism,45.553876272,-122.602183342,1/16/2022,1
NE SKIDMORE ST / NE CULLY BLVD,22-14531,Property,Cully,1/16/2022,1600,Vandalism,Vandalism,45.553876272,-122.602183342,1/16/2022,1
NE SKIDMORE ST / NE CULLY BLVD,22-14532,Property,Cully,1/16/2022,1600,Vandalism,Vandalism,45.553876272,-122.602183342,1/16/2022,1
NE SKIDMORE ST / NE CULLY BLVD,22-15104,Property,Cully,1/16/2022,1630,Vandalism,Vandalism,45.553876272,-122.602183342,1/17/2022,1
NE STANTON ST / NE 25TH AVE,22-48977,Person,Alameda,2/21/2022,1543,Assault Offenses,Simple Assault,45.543620658,-122.640102516,2/21/2022,1
NE STANTON ST / NE MARTIN LUTHER KING JR BLVD,22-23200,Property,Eliot,1/23/2022,1000,Motor Vehicle Theft,Motor Vehicle Theft,45.543816805,-122.661584823,1/25/2022,1
NE TILLAMOOK ST / NE 10TH AVE,22-906138,Property,Irvington,2/28/2022,2130,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.537466281,-122.655541493,3/1/2022,1
NE TILLAMOOK ST / NE 12TH AVE,22-900368,Property,Irvington,12/27/2021,1850,Larceny Offenses,Theft From Motor Vehicle,45.537460443,-122.653511141,1/7/2022,1
NE TILLAMOOK ST / NE 17TH AVE,22-63636,Property,Irvington,3/8/2022,1900,Motor Vehicle Theft,Motor Vehicle Theft,45.537443241,-122.648419554,3/9/2022,1
NE TILLAMOOK ST / NE 42ND AVE,22-61764,Property,Grant Park,3/6/2022,1730,Motor Vehicle Theft,Motor Vehicle Theft,45.537774807,-122.619924419,3/7/2022,1
