Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
2021-06-11,Gresham,97080,2005,4,3.0,475000,2280,5227,31446,23.246,1352.74886,97765.0
2021-06-11,Gresham,97080,1996,4,3.0,555000,2260,17424,31446,23.246,1352.74886,97765.0
2021-06-11,Gresham,97080,1962,3,3.0,650000,2006,105415,31446,23.246,1352.74886,97765.0
2021-06-11,Gresham,97080,1982,3,2.0,550000,2300,11761,31446,23.246,1352.74886,97765.0
2021-04-14,Gresham,97080,1968,2,2.0,500000,1288,98445,31446,23.246,1352.74886,97765.0
2021-06-09,Gresham,97080,1981,3,3.0,450000,2040,6969,31446,23.246,1352.74886,97765.0
2021-06-09,Gresham,97080,2006,6,3.0,565300,2721,5227,31446,23.246,1352.74886,97765.0
2020-12-18,Gresham,97080,2005,4,3.0,397500,1842,3920,31446,23.246,1352.74886,97765.0
2021-06-09,Gresham,97080,2006,4,4.0,649900,3369,10890,31446,23.246,1352.74886,97765.0
2021-06-07,Gresham,97080,2006,4,3.0,478900,1638,6534,31446,23.246,1352.74886,97765.0
2021-06-06,Gresham,97080,2001,3,3.0,551900,2013,5227,31446,23.246,1352.74886,97765.0
2021-06-06,Gresham,97080,1977,4,3.0,350000,1919,10454,31446,23.246,1352.74886,97765.0
2020-11-12,Gresham,97080,2000,4,3.0,430000,2260,5662,31446,23.246,1352.74886,97765.0
2021-06-06,Gresham,97080,1978,4,3.0,477500,2138,14810,31446,23.246,1352.74886,97765.0
2021-06-04,Gresham,97080,1997,4,3.0,620000,2537,7405,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1936,3,1.0,390000,1078,63597,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1992,3,2.0,485000,1886,6969,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1981,3,3.0,625000,2800,27007,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1993,4,3.0,619000,2975,11325,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1923,2,1.0,400000,1052,11325,31446,23.246,1352.74886,97765.0
2021-06-01,Gresham,97080,2019,4,3.0,450000,1863,3049,31446,23.246,1352.74886,97765.0
2021-06-01,Gresham,97080,1979,4,2.5,1235000,4004,318424,31446,23.246,1352.74886,97765.0
2021-06-01,Gresham,97080,2019,4,3.0,395000,1863,3049,31446,23.246,1352.74886,97765.0
2021-04-29,Gresham,97080,1992,3,3.0,459900,1980,7405,31446,23.246,1352.74886,97765.0
2021-05-28,Gresham,97080,1973,3,2.0,440000,1574,6969,31446,23.246,1352.74886,97765.0
2021-05-28,Gresham,97080,1984,3,4.0,490000,1989,7405,31446,23.246,1352.74886,97765.0
2021-05-26,Gresham,97080,1992,4,3.0,415000,1894,6969,31446,23.246,1352.74886,97765.0
2021-05-26,Gresham,97080,1999,4,3.0,415000,1822,5662,31446,23.246,1352.74886,97765.0
