,Sale Date,Home Type,City,Zip Code,Year Built,Bed,Bath,Sale Price,Property Tax Rate,Square Feet,Lot Size
318,2020-12-04,Single Family,Portland,97230,1976,3,2.5,315000,1.12,1776,7338
319,2020-12-04,Single Family,Portland,97230,1971,4,2.0,410000,1.12,2008,10890
320,2020-12-08,Single Family,Portland,97233,1954,2,1.0,330000,1.12,910,11325
321,2020-12-08,Single Family,Portland,97230,1956,3,1.0,290000,1.12,990,9147
322,2020-12-04,Single Family,Gresham,97030,1971,3,2.0,399000,1.12,1684,8276
323,2020-12-10,Single Family,Portland,97230,1968,3,2.0,356000,1.12,1297,7405
324,2020-12-10,Single Family,Portland,97233,1964,3,1.0,335000,1.12,1254,6969
326,2020-12-10,Single Family,Gresham,97030,1967,3,2.0,365000,1.12,1504,6969
327,2020-12-10,Single Family,Portland,97230,1952,3,2.0,400000,1.12,1838,7840
328,2020-12-10,Single Family,Gresham,97030,1977,3,2.0,339000,1.12,2194,9147
329,2020-12-10,Single Family,Portland,97230,1955,3,2.0,345000,1.12,1084,7405
331,2020-12-10,Single Family,Gresham,97030,1979,3,2.0,425000,1.12,1706,7840
332,2020-12-16,Single Family,Gresham,97030,1955,4,1.0,364900,1.12,1200,7405
335,2020-12-18,Single Family,Gresham,97030,2002,3,3.0,388000,1.12,1628,5227
337,2020-12-21,Single Family,Gresham,97030,1953,4,1.0,356000,1.12,1436,7840
338,2020-12-22,Single Family,Portland,97233,1929,2,1.0,258025,1.12,1622,6969
339,2020-12-21,Single Family,Portland,97233,1984,3,1.0,355000,1.12,1020,7840
340,2020-12-27,Single Family,Gresham,97030,1989,3,2.0,390000,1.12,1523,7405
341,2020-12-29,Single Family,Gresham,97030,1965,3,1.0,330000,1.12,1126,8000
342,2020-12-30,Single Family,Portland,97230,1991,4,3.0,525000,1.12,2462,9147
343,2020-12-29,Single Family,Portland,97230,1964,4,2.0,360000,1.12,1180,9583
346,2021-01-04,Single Family,Gresham,97030,1979,3,2.0,370000,1.12,1357,8276
352,2021-01-13,Single Family,Portland,97230,1966,3,2.0,410000,1.12,1950,9147
353,2021-01-15,Single Family,Gresham,97030,1973,3,2.0,350000,1.12,1184,7405
354,2021-01-13,Single Family,Gresham,97030,1964,3,2.0,316500,1.12,1072,7840
355,2021-01-15,Single Family,Gresham,97030,1984,3,2.0,417000,1.12,1700,7840
356,2021-01-19,Single Family,Gresham,97030,1968,3,2.0,370000,1.12,1184,7405
357,2021-01-21,Single Family,Gresham,97030,1990,3,3.0,425950,1.12,1678,7840
359,2021-01-21,Single Family,Portland,97230,1961,3,2.0,327500,1.12,1600,8276
362,2021-01-26,Single Family,Portland,97233,1947,3,2.0,332000,1.12,1466,10018
363,2021-01-27,Single Family,Gresham,97030,1972,3,1.0,343000,1.12,858,6969
365,2021-01-27,Single Family,Portland,97233,1962,3,1.0,349900,1.12,960,6969
